id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
10532111764,2024-01-10T16:24:35Z,Racing rain,12884.6,3369,3560,28.7,Run,2024-01-10T11:24:35Z,3.824,9.788,83.6,173.4,199.0,103.0
10527262362,2024-01-09T20:53:32Z,Afternoon Run,11274.3,3087,3091,110.4,Run,2024-01-09T15:53:32Z,3.652,5.543,82.5,168.3,190.0,73.0
10494848717,2024-01-04T19:47:56Z,Over the top,13689.6,3748,3792,78.7,Run,2024-01-04T14:47:56Z,3.653,6.76,82.6,169.7,187.0,94.0
10476183013,2024-01-01T21:18:11Z,Afternoon Run,11281.3,3117,3117,53.9,Run,2024-01-01T16:18:11Z,3.619,5.917,80.8,170.3,193.0,84.0
10463805903,2023-12-30T17:59:14Z,Lunch Run,8060.0,2160,2166,29.7,Run,2023-12-30T12:59:14Z,3.731,6.156,81.2,172.4,195.0,65.0
10447143695,2023-12-27T20:26:06Z,Afternoon Run,8056.0,2199,2498,84.3,Run,2023-12-27T15:26:06Z,3.663,4.917,81.3,160.5,192.0,35.0
10435348692,2023-12-25T16:39:10Z,Lunch Run,8057.6,2142,2148,44.2,Run,2023-12-25T11:39:10Z,3.762,5.262,81.6,163.1,190.0,40.0
10421870798,2023-12-22T22:33:39Z,Afternoon Run,6446.9,1750,1898,59.5,Run,2023-12-22T17:33:39Z,3.684,5.122,79.3,166.6,186.0,41.0
10400398679,2023-12-18T16:38:08Z,Afternoon Run,4843.3,1384,1622,0.0,Run,2023-12-18T17:38:08Z,3.5,5.558,79.7,140.3,160.0,6.0
10396598688,2023-12-17T18:36:28Z,Evening Run,9691.3,2678,2983,14.3,Run,2023-12-17T19:36:28Z,3.619,6.588,80.3,170.0,187.0,72.0
10385124871,2023-12-15T17:50:44Z,Evening Run,4854.1,1298,1340,9.2,Run,2023-12-15T18:50:44Z,3.74,8.087,79.4,159.3,182.0,21.0
10369713404,2023-12-12T17:01:12Z,Evening Run,11290.2,3170,3399,14.8,Run,2023-12-12T18:01:12Z,3.562,5.735,80.1,162.8,185.0,60.0
10338543721,2023-12-06T15:58:09Z,Afternoon Run,9676.1,2663,2890,12.3,Run,2023-12-06T16:58:09Z,3.634,5.386,80.4,169.1,187.0,69.0
10326220161,2023-12-04T10:47:05Z,Lunch Run,4871.7,1366,1380,5.8,Run,2023-12-04T11:47:05Z,3.566,4.716,79.8,150.2,163.0,9.0
10322390951,2023-12-03T13:34:48Z,Pretty neat,5226.8,2337,2981,133.1,Run,2023-12-03T13:34:48Z,2.237,5.0,69.1,140.0,170.0,14.0
10294551738,2023-11-28T10:52:11Z,Lunch Run,9665.2,2697,3048,15.4,Run,2023-11-28T11:52:11Z,3.584,6.173,81.5,164.0,187.0,58.0
10278259462,2023-11-25T11:23:50Z,Lunch Run,4837.7,1284,1342,4.6,Run,2023-11-25T12:23:50Z,3.768,5.602,82.1,163.5,183.0,26.0
10268889062,2023-11-23T15:06:12Z,🦃,8872.2,2419,2754,32.0,Run,2023-11-23T16:06:12Z,3.668,5.704,81.6,155.3,181.0,29.0
10257928831,2023-11-21T16:59:03Z,Afternoon Run,8868.1,2438,2569,10.7,Run,2023-11-21T17:59:03Z,3.637,5.463,79.2,150.2,175.0,20.0
10248113313,2023-11-19T18:18:33Z,Sleep deprivation shuffle,5058.8,1370,1599,7.7,Run,2023-11-19T19:18:33Z,3.693,5.49,79.1,141.8,179.0,8.0
